Directory,Data Cube Score,% Change
www.airbnb.com/explore/government-camp--or/,<1,-96.13%
www.airbnb.com/explore/,106,-95.83%
www.airbnb.com/explore/santa-monica--ca/,<1,-95.65%
www.airbnb.com/explore/san-francisco--ca/apartment/,<1,-95.60%
www.airbnb.com/explore/seattle--wa/,<1,-95.50%
www.airbnb.com/explore/hawaii--united-states/apartment/,<1,-95.43%
www.airbnb.com/explore/long-beach--ca/loft/,<1,-95.29%
www.airbnb.com/explore/long-beach--ca/,<1,-95.19%
www.airbnb.com/explore/bristol--united-kingdom/,<1,-95.14%
www.airbnb.com/explore/bristol--united-kingdom/apartment/,<1,-95.14%
blog.airbnb.com/maker-monday-lisa-congdon-travel-inspired-illustrations/,<1,-94.88%
www.airbnb.com/help/article/198/,<1,-94.41%
www.airbnb.com/explore/paris--france/,<1,-93.86%
www.airbnb.com/help/article/544/,3,-93.69%
www.airbnb.com/explore/palm-desert--ca/,1,-93.00%
www.airbnb.com/explore/beverly-hills--ca/,<1,-92.65%
www.airbnb.com/experience/,2,-92.56%
www.airbnb.com/help/article/113/,20,-91.91%
www.airbnb.com/explore/seoul--south-korea/,<1,-91.67%
www.airbnb.com/explore/seoul--south-korea/apartment/,<1,-91.67%
www.airbnb.com/explore/dewey-beach--de/,<1,-91.66%
www.airbnb.com/help/article/240/,1,-90.39%
www.airbnb.com/help/article/990/,2,-90.02%
blog.airbnb.com/sundancefilmfestival/,<1,-89.23%
es.airbnb.com/help/getting-started/,<1,-89.01%
www.airbnb.com/help/article/436/,5,-88.82%
www.airbnb.com/explore/carpinteria--ca/,<1,-87.19%
www.airbnb.com/help/article/76/,9,-86.29%
www.airbnb.com/locations/bangkok/,3,-84.11%
www.airbnb.com/help/article/906/,<1,-81.40%
www.airbnb.com/explore/tampa--fl/bed-and-breakfast/,<1,-80.15%
www.airbnb.com/help/article/864/,1,-78.64%
www.airbnb.com/night-at/,38,-76.51%
www.airbnb.com/help/article/380/,4,-76.21%
www.airbnb.com/explore/pine-cay--turks-and-caicos-islands/,1,-75.38%
www.airbnb.com/help/article/182/,1,-75.33%
www.airbnb.com/explore/scottsdale--az/,<1,-74.51%
www.airbnb.com/help/article/14/,2,-74.24%
blog.airbnb.com/exploring-brooklyn-by-foot-the-local-list/,1,-73.27%
www.airbnb.com/locations/new-york/,"40,877",-72.65%
www.airbnb.com/help/article/870/,4,-71.82%
www.airbnb.com/explore/oregon--united-states/,<1,-70.59%
www.airbnb.com/help/article/823/,1,-70.05%
www.airbnb.com/explore/oregon--united-states/house/,<1,-66.85%
www.airbnb.com/explore/michigan--united-states/,1,-63.69%
www.airbnb.com/locations/,"76,699",-60.08%
blog.airbnb.com/introducing-airbnbs-first-ever-song/,1,-59.87%
nerds.airbnb.com/airflow/,193,-58.55%
www.airbnb.com/locations/miami/,"1,132",-58.08%
www.airbnb.com/help/article/876/,45,-58.06%
create.airbnb.com/es/,3,-57.89%
www.airbnb.com/help/article/104/,108,-57.35%
www.airbnb.com/help/article/106/,1,-54.49%
www.airbnb.com/help/article/437/,12,-53.84%
www.airbnb.com/help/article/510/,1,-53.32%
www.airbnb.com/help/article/478/,1,-52.54%
www.airbnb.com/getaways/,"1,465",-52.46%
www.airbnb.com/help/article/767/,50,-51.68%
community.airbnb.com/t5/New-to-Hosting/,1,-51.38%
www.airbnb.com/explore/winston~salem--nc/,1,-50.54%
www.airbnb.com/explore/nantucket--ma/,11,-50.52%
www.airbnb.com/help/article/421/,1,-50.00%
community.airbnb.com/t5/New-to-Hosting/W-8ECI/,1,-48.86%
www.airbnb.com/locations/buenos-aires/,18,-47.36%
www.airbnb.com/help/article/576/,22,-45.25%
www.airbnb.com/help/article/245/,1,-44.88%
assets.airbnb.com/,3,-44.72%
assets.airbnb.com/eyguidance/,3,-44.72%
www.airbnb.com/help/article/195/,33,-44.35%
www.airbnb.com/help/article/981/,3,-44.14%
www.airbnb.com/help/article/338/,1,-43.70%
www.airbnb.com/locations/berlin/,132,-41.41%
www.airbnb.com/locations/london/,"1,468",-40.49%
www.airbnb.com/help/article/514/,3,-39.86%
blog.airbnb.com/a-recipe-for-success/,2,-39.10%
nerds.airbnb.com/,364,-38.98%
www.airbnb.com/locations/paris/,"1,253",-36.23%
es.airbnb.com/help/,2,-36.14%
www.airbnb.com/careers/departments/position/,121,-35.61%
www.airbnb.com/home/,513,-35.33%
nerds.airbnb.com/do-it-yourself-ach-direct-deposit/,10,-35.06%
www.airbnb.com/go/,1,-33.67%
www.airbnb.com/help/article/869/,11,-33.59%
www.airbnb.com/explore/borgata-marina--italy/,1,-32.65%
www.airbnb.com/help/article/872/,5,-32.53%
zh.airbnb.com/,7,-27.30%
www.airbnb.com/help/article/994/,2,-25.27%
s.airbnb.com/rio-2016/,33,-24.99%
www.airbnb.com/locations/berlin/guide/,61,-23.18%
www.airbnb.com/help/article/653/,8,-22.80%
www.airbnb.com/help/article/241/,19,-22.53%
www.airbnb.com/locations/los-angeles/,"3,234",-22.39%
nerds.airbnb.com/smartstack-service-discovery-cloud/,7,-22.28%
www.airbnb.com/explore/salerno--italy/,1,-22.00%
www.airbnb.com/explore/salerno--italy/villa/,1,-22.00%
www.airbnb.com/locations/rome/,229,-20.53%
www.airbnb.com/help/article/237/,5,-20.00%
www.airbnb.com/help/article/840/,2,-20.00%
blog.airbnb.com/barcelona-neighborhoods-write-home/,64,-19.68%
www.airbnb.com/locations/washington-dc/,"3,635",-19.33%
www.airbnb.com/locations/austin/,"2,408",-19.29%
blog.airbnb.com/place-called-home-airbnb-london-design-festival/,4,-18.52%
blog.airbnb.com/airbnbs-economic-impact-nyc-community/,28,-17.91%
www.airbnb.com/explore/eagle-beach--aruba/,1,-17.58%
www.airbnb.com/explore/eagle-beach--aruba/apartment/,1,-17.58%
www.airbnb.com/help/article/861/,20,-16.62%
www.airbnb.com/help/article/414/,626,-16.34%
create.airbnb.com/en/,297,-15.92%
create.airbnb.com/,362,-15.47%
www.airbnb.com/help/article/853/,1,-13.71%
www.airbnb.com/help/article/838/,12,-12.85%
www.airbnb.com/explore/copper-mountain--co/,6,-12.54%
www.airbnb.com/locations/sydney/,20,-11.94%
www.airbnb.com/help/article/486/,32,-9.73%
nerds.airbnb.com/mysql-in-the-cloud-at-airbnb/,2,-8.39%
s.airbnb.com/tesla/request-a-charger/,18,-7.90%
nerds.airbnb.com/introducing-chronos/,36,-7.73%
s.airbnb.com/,73,-6.99%
blog.airbnb.com/wp-content/,1,-6.97%
blog.airbnb.com/wp-content/uploads/,1,-6.97%
www.airbnb.com/rooms/,"52,378",-6.43%
www.airbnb.com/locations/san-francisco/,"8,061",-5.70%
blog.airbnb.com/is-mankind/,12,-5.61%
es.airbnb.com/s/,155,-5.50%
www.airbnb.com/help/article/100/,2,-4.58%
www.airbnb.com/events/busbud/,31,-4.25%
www.airbnb.com/help/article/1169/,5,-4.12%
www.airbnb.com/help/article/1179/,6,-2.67%
www.airbnb.com/help/article/140/,197,-2.12%
www.airbnb.com/help/article/59/,28,-1.75%
www.airbnb.com/locations/mexico-city/,849,-1.40%
www.airbnb.com/help/article/871/,13,-1.00%
